"numforgame","rowforgame","rowforextra","inning","away","home","rem_type","base1","base2","base3","id","Player","direction","result","out","follow.up","special","log"
45,94,1,"8上","兄弟(3)","(12)義大",3,NA,NA,NA,"第四棒","彭政閔","","三振","二出局",0,"","3.第四棒1B彭政閔:遭到三振，三出局"
47,12,1,"2上","兄弟(1)","(0)義大",1,NA,NA,NA,"第四棒","彭政閔","","接殺","零出局",0,"","1.第四棒1B彭政閔:一壘界外飛球遭接殺，一出局"
47,32,1,"4上","兄弟(1)","(0)義大",2,NA,NA,NA,"第四棒","彭政閔","","刺殺","一出局",0,"","2.第四棒1B彭政閔:三壘滾地遭刺殺，二出局"
47,54,1,"6上","兄弟(1)","(0)義大",2,NA,NA,NA,"第四棒","彭政閔","右","接殺","一出局",1,"","2.第四棒1B彭政閔:右外野飛球遭到接殺，二出局"
47,80,1,"8上","兄弟(2)","(3)義大",1,NA,NA,NA,"第四棒","彭政閔","左","刺殺","零出局",0,"","1.第四棒1B彭政閔:游擊滾地遭刺殺，一出局"
47,101,1,"9上","兄弟(4)","(5)義大",9,NA,"林威助",NA,"第四棒","彭政閔","中","接殺","二出局",0,"warning","6.第四棒1B彭政閔:中外野飛球遭接殺，三出局比賽結束義大隊以(5)比(4)擊敗兄弟隊"
48,6,1,"1上","兄弟(2)","(0)桃猿",14,"張志豪","張正偉",NA,"第四棒","彭政閔","","保送","一出局",3,"","4.第四棒彭政閔:四壞球保送，滿壘"
48,29,1,"3上","兄弟(3)","(1)桃猿",3,NA,NA,NA,"第四棒","彭政閔","內","刺殺封殺","二出局",0,"warning","3.第四棒彭政閔:內野滾地球，SS接到傳向一壘刺殺，三出局兄弟(3):(1)桃猿"
48,59,1,"6上","兄弟(3)","(4)桃猿",4,"陳子豪",NA,NA,"第四棒","彭政閔","中","接殺盜壘","零出局",0,"warning","2.第四棒彭政閔:外野飛球，遭到CF接殺，一出局盜壘成功，陳子豪上到二壘"
48,81,1,"8上","兄弟(3)","(4)桃猿",8,NA,"張志豪",NA,"第四棒","彭政閔","","三振","一出局",0,"","3.第四棒彭政閔:三振，二出局桃猿再度換投:米吉亞"
50,6,1,"1上","兄弟(1)","(0)桃猿",5,"陳子豪",NA,NA,"第四棒","彭政閔","","保送","一出局",2,"","4.第四棒彭政閔:四壞球保送，跑者分佔一、二壘"
50,24,1,"2上","兄弟(3)","(1)桃猿",15,"陳子豪","張正偉",NA,"第四棒","彭政閔","中","接殺","二出局",0,"warning","5.第四棒彭政閔:外野飛球，遭到CF接殺(NP)，三出局兄弟(3):(1)桃猿"
50,54,1,"5上","兄弟(3)","(3)桃猿",2,NA,NA,NA,"第四棒","彭政閔","","保送盜壘","一出局",1,"warning","2.第四棒彭政閔:四壞球保送盜壘成功，彭政閔上到二壘"
50,78,1,"7上","兄弟(5)","(5)桃猿",1,NA,NA,NA,"第四棒","彭政閔","","接殺","零出局",0,"","2.第四棒彭政閔:界外飛球，遭到1B接殺(NP)，一出局"
52,12,1,"2上","兄弟(0)","(0)桃猿",1,NA,NA,NA,"第四棒","彭政閔","","保送","零出局",0,"","1.第四棒彭政閔:四壞球保送"
52,26,1,"3上","兄弟(1)","(0)桃猿",21,NA,"陳子豪","郭健瑜","第四棒","彭政閔","","保送","二出局",0,"","6.第四棒彭政閔:四壞球保送，滿壘"
52,47,1,"5上","兄弟(1)","(0)桃猿",12,NA,NA,"郭健瑜","第四棒","彭政閔","內","刺殺封殺","二出局",0,"warning","4.第四棒彭政閔:內野滾地球，3B接到傳向一壘刺殺打者，三出局兄弟(1):(0)桃猿"
52,76,1,"8上","兄弟(1)","(2)桃猿",1,NA,NA,NA,"第四棒","彭政閔","右","接殺","零出局",0,"","1.第四棒彭政閔:外野飛球，遭到RF接殺，一出局"
55,14,1,"2上","兄弟(0)","(0)統一",1,NA,NA,NA,"第四棒","彭政閔","中","一壘安打","零出局",1,"","1.第四棒彭政閔:中外野一壘安打"
55,37,1,"4上","兄弟(1)","(1)統一",1,NA,NA,NA,"第四棒","彭政閔","","保送","零出局",0,"","1.第四棒彭政閔:觸身球保送"
55,39,1,"4上","兄弟(1)","(1)統一",5,"彭政閔",NA,NA,"第六棒","郭健瑜","","三振盜壘","一出局",0,"warning","3.第六棒郭健瑜:三振，二出局盜壘成功，彭政閔上到二壘"
55,61,1,"6上","兄弟(1)","(5)統一",5,"陳子豪",NA,NA,"第四棒","彭政閔","","失誤","一出局",1,"warning","3.第四棒彭政閔:(3)B守備失誤，跑者分佔一、三壘"
55,83,1,"8上","兄弟(3)","(5)統一",2,NA,NA,NA,"第四棒","彭政閔","","接殺","一出局",0,"","2.第四棒彭政閔:平飛球遭到1B接殺，二出局"
57,6,1,"1上","兄弟(1)","(0)統一",22,"張正偉","張志豪","陳子豪","第四棒","彭政閔","","三振","零出局",1,"","4.第四棒彭政閔:三振，一出局"
57,28,1,"3上","兄弟(1)","(1)統一",6,"張正偉",NA,NA,"第四棒","彭政閔","右","一壘安打","二出局",0,"","4.第四棒彭政閔:右外野一壘安打，跑者分佔一、三壘"
57,49,1,"5上","兄弟(2)","(1)統一",2,NA,NA,NA,"第四棒","彭政閔","內","封殺","一出局",0,"warning","2.第四棒彭政閔:投手正面強襲球，投手接到傳向一壘使打者出局，二出局"
57,71,1,"7上","兄弟(4)","(1)統一",21,NA,"張志豪","王勝偉","第四棒","彭政閔","右","一壘安打","二出局",0,"warning","5.第四棒彭政閔:右外野一壘安打，帶有2分打點兄弟(4):(1)統一"
57,94,1,"9上","兄弟(5)","(2)統一",11,NA,NA,"張正偉","第四棒","彭政閔","","保送","一出局",1,"","3.第四棒彭政閔:四壞球保送，跑者分佔一、三壘"
58,12,1,"1下","義大(0)","(1)兄弟",14,"張正偉","張志豪",NA,"第四棒","彭政閔","","保送","一出局",1,"","4.第四棒1B彭政閔:獲得四壞球保送，形成滿壘"
58,45,1,"4下","義大(5)","(1)兄弟",1,NA,NA,NA,"第四棒","彭政閔","內","刺殺","零出局",0,"","1.第四棒1B彭政閔:一壘方向滾地球遭到刺殺，一出局"
58,70,1,"7下","義大(5)","(1)兄弟",1,NA,NA,NA,"第四棒","彭政閔","","保送","零出局",0,"","1.第四棒1B彭政閔:獲得四壞球保送，一壘有人"
58,89,1,"8下","義大(5)","(3)兄弟",6,"張正偉",NA,NA,"第四棒","彭政閔","左","二壘安打觸殺","二出局",0,"warning","6.第四棒1B彭政閔:左外野二壘安打，張正偉回本壘遭到觸殺，三出局"
60,11,1,"1下","義大(1)","(0)兄弟",20,NA,"張正偉","張志豪","第四棒","彭政閔","","夾殺","一出局",0,"warning","4.第四棒DH彭政閔:投手正面滾地球，張志豪遭到夾殺，二三壘有人，二出局"
60,36,1,"3下","義大(1)","(3)兄弟",2,NA,NA,NA,"第四棒","彭政閔","","保送","一出局",5,"","5.第四棒DH彭政閔:獲得四壞球保送，一壘有人"
60,57,1,"4下","義大(1)","(8)兄弟",2,NA,NA,NA,"第四棒","彭政閔","","保送","一出局",1,"","2.第四棒DH彭政閔:獲得四壞球保送，一壘有人"
60,72,1,"5下","義大(1)","(9)兄弟",18,"張志豪",NA,"郭健瑜","第四棒","彭政閔","中","接殺","二出局",0,"","5.第四棒DH彭政閔:中外野飛球遭到接殺，三出局"
60,93,1,"7下","義大(1)","(9)兄弟",6,"張正偉",NA,NA,"第四棒","彭政閔","內","封殺","二出局",0,"","4.第四棒DH彭政閔:三壘方向滾地球封殺往二壘跑者，三出局"
62,17,1,"2下","義大(1)","(0)兄弟",1,NA,NA,NA,"第四棒","彭政閔","內","刺殺","零出局",0,"","1.第四棒1B彭政閔:二壘方向滾地球遭到刺殺，一出局"
62,43,1,"5下","義大(1)","(0)兄弟",1,NA,NA,NA,"第四棒","彭政閔","中","穿越安打穿越安打","零出局",0,"","1.第四棒1B彭政閔:中間方向穿越安打，一壘有人"
62,45,1,"5下","義大(1)","(0)兄弟",5,"彭政閔",NA,NA,"","","","盜壘","一出局",0,"warning","彭政閔盜壘成功，二壘有人"
